# řádek začínající mřížkou se změní na html komentář
# řádek začínající mezerou nebo tabulátorem zůstane netknutý
 <html lang="cs">
   <head>
     <title>Tabulka generovaná sedem</title>
   </head>
 <body>

# řádek obsahující pouze !table se změní na začátek značky table
!table
#Jméno,Příjmení,Pohlaví,Datum narození,E-mail
#Hana,Sabadková,žena,20. 8. 1971,sabadkova.hana@mail.cz
Jelena,Perná,žena,4. 7. 1988,perna.jelena@mail.cz
Božena,Nováková,žena,14. 4. 1993,novakova.bozena@mail.cz
Dana,Vopršálková,žena,15. 1. 1977,voprsalkova.dana@mail.cz
Žaneta,Olecká,žena,27. 5. 1959,olecka.zaneta@mail.cz
Zdena,Vopršálková,žena,21. 12. 1992,voprsalkova.zdena@mail.cz
Jelena,Doroženská,žena,21. 12. 1991,dorozenska.jelena@mail.cz
Oto,Novák,muž,9. 9. 1964,novak.oto@mail.cz
# řádek obsahující pouze !!table se změní na konec značky table
!!table

!table
Lenka,Mašková,žena,29. 6. 1992,maskova.lenka@mail.cz
Waldemar,Chaplin,muž,15. 9. 1992,chaplin.waldemar@mail.cz
Lenka,Vopršálková,žena,15. 1. 1978,voprsalkova.lenka@mail.cz
Karla,Mladá,žena,24. 8. 1983,mlada.karla@mail.cz
Vladěna,Pertová,žena,2. 10. 1982,pertova.vladena@mail.cz
Xaver,Kučera,muž,20. 6. 1983,kucera.xaver@mail.cz
Aleš,Zábava,muž,26. 1. 1985,zabava.ales@mail.cz
Ervín,Hovorka,muž,17. 10. 1967,hovorka.ervin@mail.cz
Lenka,Mašková,žena,13. 7. 1984,maskova.lenka@mail.cz
Libuše,Sabadková,žena,15. 3. 1978,sabadkova.libuse@mail.cz
Rudolf,Fiala,muž,17. 1. 1992,fiala.rudolf@mail.cz
Ladislav,Nejezchleba,muž,21. 11. 1965,nejezchleba.ladislav@mail.cz
Adéla,Dvořáková,žena,24. 7. 1965,dvorakova.adela@mail.cz
Pavel,Ulek,muž,19. 9. 1999,ulek.pavel@mail.cz
Lucie,Doroženská,žena,23. 6. 1982,dorozenska.lucie@mail.cz
Gerta,Gregorová,žena,28. 6. 1976,gregorova.gerta@mail.cz
Zdena,Doroženská,žena,31. 10. 1971,dorozenska.zdena@mail.cz
Stanislav,Zikuda,muž,2. 9. 1980,zikuda.stanislav@mail.cz
Daniel,Kučera,muž,18. 12. 1961,kucera.daniel@mail.cz
Filoména,Klaková,žena,10. 6. 1978,klakova.filomena@mail.cz
Gerhard,Žampach,muž,3. 5. 1974,zampach.gerhard@mail.cz
Libuše,Janzáková,žena,2. 7. 1962,janzakova.libuse@mail.cz
Jana,Doroženská,žena,21. 3. 1956,dorozenska.jana@mail.cz
Oto,Žampach,muž,30. 10. 1953,zampach.oto@mail.cz
Ivo,Kučera,muž,26. 7. 1975,kucera.ivo@mail.cz
Eva,Klaková,žena,12. 9. 1968,klakova.eva@mail.cz
Žaneta,Janušinská,žena,29. 1. 1952,janusinska.zaneta@mail.cz
Radka,Václavíková,žena,16. 3. 1995,vaclavikova.radka@mail.cz
Stanislav,Řehoř,muž,22. 2. 1969,rehor.stanislav@mail.cz
Florián,Žlutý,muž,19. 8. 1993,zluty.florian@mail.cz
Naďa,Janušinská,žena,22. 9. 1963,janusinska.nada@mail.cz
Naděžda,Rábová,žena,8. 9. 1981,rabova.nadezda@mail.cz
Milada,Mladá,žena,9. 3. 1993,mlada.milada@mail.cz
Pavel,Ulek,muž,27. 10. 1958,ulek.pavel@mail.cz
Rudolf,Žampach,muž,4. 3. 1987,zampach.rudolf@mail.cz
Zdeněk,Hladký,muž,27. 12. 1968,hladky.zdenek@mail.cz
Norbert,Chaplin,muž,18. 2. 1974,chaplin.norbert@mail.cz
Adam,Hladký,muž,13. 7. 1971,hladky.adam@mail.cz
Žaneta,Ropická,žena,2. 4. 1992,ropicka.zaneta@mail.cz
